Company Name,Report Year,Annual Carbon Emissions,Annual Water Consumption,Renewable Energy Usage,Sustainable Materials Usage Ratio,Waste Recycling Rate
3M,2011,6200000.0 tonnes CO₂,N/A,1250000.0 MWh,N/A,N/A
3M,2012,72.0 tonnes CO₂,N/A,N/A,N/A,N/A
3M,2013,N/A,N/A,N/A,N/A,N/A
3M,2014,61700000000.0 tonnes CO₂,43180000.0 cubic meters,N/A,23.0 percent,N/A
3M,2015,61700.0 tonnes CO₂,N/A,800000.0 MWh,N/A,N/A
ViacomCBS,N/A,6.79 tonnes CO₂,N/A,N/A,N/A,N/A
Qualcomm,2023,80589.0 tonnes CO,1019848.0 cubic meters,N/A,N/A,50.5 percent
Apple,2015,275000.0 tonnes CO₂,1.87 cubic meters,692000000.0 MWh,N/A,68.0 percent
Intel,N/A,2578000.0 tonnes CO₂,11356230.0 cubic meters,80.0 MWh,N/A,N/A
CaixaBank,2022,26.9 tonnes CO₂,N/A,N/A,N/A,N/A
CarMax,2022,N/A,N/A,N/A,N/A,N/A
Kinross,2015,1351000.0 tonnes CO₂,51508000.0 cubic meters,N/A,81.0 percent,52.0 percent
PVH CORP.,2016,148726.0 tonnes CO₂,N/A,N/A,N/A,N/A
Caterpillar,2021,N/A,N/A,24.0 MWh,N/A,91.0 percent
Bristol Myers Squibb (BMS),2021,N/A,3168250000.0 cubic meters,N/A,N/A,N/A
Enel,2017,105500000.0 tonnes CO₂,126.0 cubic meters,N/A,N/A,N/A
HP,2019,46785800.0 tonnes CO₂,2930000.0 cubic meters,240398.0 MWh,N/A,91.0 percent
Cisco,2015,351353.0 tonnes CO₂,5308.0 cubic meters,N/A,N/A,75.0 percent
The Charles Schwab Corporation,N/A,4725.0 tonnes CO₂,N/A,3.5 MWh,N/A,N/A
ChevronTexaco,2002,60000000.0 tonnes CO₂,N/A,N/A,N/A,N/A
ChevronTexaco,2003,64000000.0 tonnes CO₂,N/A,N/A,N/A,N/A
Chevron,2004,62500000.0 tonnes CO₂,N/A,N/A,N/A,N/A
Chevron,2005,59700000.0 tonnes CO₂,N/A,N/A,N/A,N/A
Chevron,N/A,61900000.0 tonnes CO₂,N/A,N/A,N/A,N/A
Chevron,2007,60.7 tonnes CO₂,N/A,N/A,N/A,N/A
Chevron,2008,59600000.0 tonnes CO₂,45000.0 cubic meters,N/A,N/A,N/A
Chevron,2009,57400000.0 tonnes CO₂,N/A,N/A,N/A,N/A
Chevron,2010,59200000.0 tonnes CO₂,N/A,N/A,N/A,59.0 percent
Chevron,2011,59800000.0 tonnes CO₂,N/A,N/A,N/A,N/A
Chevron,2012,56300000.0 tonnes CO₂,N/A,N/A,N/A,N/A
Chevron,2013,N/A,N/A,N/A,N/A,N/A
Chevron,2014,N/A,N/A,N/A,N/A,N/A
