Company Name,Report Year,Annual Carbon Emissions,Annual Water Consumption,Renewable Energy Usage,Sustainable Materials Usage Ratio,Waste Recycling Rate
3M,2011,6200000.0 tonnes CO₂,N/A,N/A,N/A,47.0 percent
N/A,2012,55.0% reduction,N/A,0.82 MWh,N/A,N/A
N/A,2013,55.0% reduction,43510000.0 cubic meters,0.82 MWh,N/A,N/A
3M,2014,7950000.0 tonnes CO₂,43180000.0 cubic meters,1.0 MWh,23.0 percent,36.6 percent
N/A,2015,15000000.0 tonnes CO₂,42.0% reduction,1.0 MWh,23.0 percent,40.0 percent
3M,2016,211000.0 tonnes CO₂,42100000.0 cubic meters,0.5 MWh,35.0 percent,231000.0 tonnes CO₂
3M Company,2017,12000000.0 tonnes CO₂,34.2% reduction,25.0 MWh,N/A,30.0 percent
3M,2018,68.1% reduction,37.2% reduction,10.0 MWh,45.0 percent,100.0 percent
3M,2019,6700000.0 tonnes CO₂,50000000.0 cubic meters,5.0 MWh,100.0 percent,97.0 percent
3M,2020,68.0% reduction,41900000.0 cubic meters,20.0 MWh,100.0 percent,86.0 tonnes CO₂
3M Company,2021,71.1% reduction,10.0% reduction,100.0 MWh,30.0 percent,42.9 percent
3M,2022,75.0% reduction,247000.0 cubic meters,50.0 MWh,76.0 percent,60.0 percent
3M,2023,78.8% reduction,10.0% reduction,51.9 MWh,N/A,44.9 percent
3i Group plc,2020,604.5 tonnes CO,N/A,100.0 MWh,100.0 percent,51.2 tonnes CO₂
3i Group plc,2022,269.9 tonnes CO,N/A,100.0 MWh,N/A,52.5 tonnes CO₂
3i Group plc,2023,114000.0 tonnes CO,5544.5 cubic meters,1800.0 tonnes CO₂,30.0 percent,95.0 percent
Amgen,2014,38500.0 tonnes CO₂,269000.0 cubic meters,N/A,N/A,50.4 percent
Albemarle Corporation,2023,3849.0 tonnes CO₂,N/A,N/A,N/A,N/A
The AES Corporation,2019,175000.0 tonnes CO₂,4985300000.0 cubic meters,29118848.0 MWh,N/A,19.0 percent
Walmart,2014,21200000.0 tonnes CO₂,3000000.0 cubic meters,24.0 MWh,99.0 percent,81.66 percent
AbbVie,2018,N/A,N/A,20.0 MWh,N/A,32.0 percent
AbbVie Inc,2019,N/A,N/A,25.0 MWh,N/A,35.0 percent
AbbVie,2020,24.0% reduction,18.0% reduction,28.0 MWh,N/A,89.0 percent
AbbVie,2021,367954.0 tonnes CO₂,5220000.0 cubic meters,32.0 MWh,N/A,42.0 percent
AbbVie,2022,342607.0 tonnes CO₂,5040000.0 cubic meters,245433.0 MWh,N/A,39.0 percent
The Coca-Cola Company,2018,25500000.0 tonnes CO₂,298797.0 cubic meters,N/A,56.0 percent,56.0 percent
THE COCA-COLA COMPANY,2019,24.0% reduction,273700000.0 cubic meters,N/A,10.0 percent,59.0 percent
BETTERFUTURE,2020,20.0% reduction,1430.0 cubic meters,3.7 MWh,21.0 percent,76.0 percent
Stellantis N.V.,2021,3874101.0 tonnes CO₂,27540000.0 cubic meters,1169776.0 MWh,100.0 percent,87.0 percent
Amazon,2022,N/A,N/A,90.0 MWh,100.0 percent,12.0 percent
Visa,2023,24.0% reduction,365000000.0 cubic meters,100.0 MWh,80.0 percent,50.0 percent
N/A,2013,N/A,N/A,N/A,N/A,N/A
Apple Inc.,2017,29500000.0 tonnes CO₂,N/A,96.0 MWh,99.0 percent,95.0 percent
N/A,2020,N/A,N/A,N/A,N/A,N/A
"Macy’s, Inc.",2023,2022.0 tonnes CO₂,N/A,95.0 MWh,35.0 percent,65.0 percent
Agilent,2000,N/A,4070000.0 cubic meters,6.5 MWh,N/A,9.0 percent
Agilent Technologies,2001,N/A,4430.0 cubic meters,23.4 MWh,N/A,228.0 percent
Agilent Technologies,2002,300000000.0 kg,4061000.0 cubic meters,19.0 MWh,N/A,6088.0 tonnes CO₂
Agilent,2003,332000000.0 kg,2856000.0 cubic meters,727000000.0 MWh,N/A,5.0 percent
Agilent,2004,308000000.0 kg,2671000.0 cubic meters,6.0 MWh,N/A,5590.0 tonnes CO₂
Agilent,2005,372.0 kilotonnes,2746000.0 cubic meters,16.0 MWh,N/A,73.0 percent
Agilent,2006,212.0 tonnes CO₂,1212000.0 cubic meters,199.0 MWh,N/A,93.0 percent
"Agilent Technologies, Inc.",2007,194.0 tonnes CO₂,1074000.0 cubic meters,2000000.0 MWh,N/A,78.0 percent
"Agilent Technologies, Inc.",2008,128.6 tonnes CO₂,1075.0 cubic meters,1.0 MWh,N/A,83.0 percent
Agilent,2009,N/A,818000.0 cubic meters,1.0 MWh,N/A,65.0 percent
"Agilent Technologies, Inc",2010,N/A,938000.0 cubic meters,1.0 MWh,N/A,94.0 percent
"Agilent Technologies, Inc.",2011,121753.0 tonnes CO₂,1072810.0 cubic meters,13600.0 MWh,N/A,2731.62 percent
Agilent Technologies Inc.,2012,122149.0 tonnes CO,1269427.0 cubic meters,14.2 MWh,65.0 percent,95.6 percent
Agilent Technologies Inc.,2013,131145.0 tonnes CO,1194175.0 cubic meters,12800.0 MWh,N/A,80.8 percent
Agilent Technologies Inc.,2014,109.2 tonnes CO₂,1868.91 cubic meters,11800.0 MWh,N/A,81.9 percent
Agilent Technologies Inc.,2015,59000.0 tonnes CO₂,358800.0 cubic meters,5050.0 MWh,0.0 percent,89.0 percent
Agilent,2016,59000.0 tonnes CO₂,155000.0 cubic meters,5850.0 MWh,N/A,89.0 percent
Agilent,2017,25.0% reduction,9.0% reduction,6000.0 MWh,N/A,95.0 percent
"Agilent Technologies, Inc.",2018,1200.0 tonnes CO₂,5.6% reduction,32.0 MWh,N/A,93.0 percent
"Agilent Technologies, Inc.",2019,277.0 tonnes CO₂,483000.0 cubic meters,108000.0 MWh,N/A,94.0 percent
"Agilent Technologies, Inc.",2020,2143.0 tonnes CO₂,12.0% reduction,3600.0 MWh,N/A,90.0 percent
Agilent,2021,50.0% reduction,453000.0 cubic meters,6.4 MWh,48.0 percent,94.0 percent
Agilent,2022,49000.0 tonnes CO₂,431000.0 cubic meters,27.0 MWh,N/A,94.0 percent
Intel,2016,1630000.0 tonnes CO₂,35582854.0 cubic meters,4.3 MWh,N/A,82.0 percent
Apple,2018,2600000.0 tonnes CO₂,3785410.0 cubic meters,100.0 MWh,100.0 percent,71.0 percent
Airtel Africa,N/A,N/A,N/A,N/A,N/A,N/A
Airtel Africa,2022,115719.0 tonnes CO,N/A,N/A,N/A,39.0 percent
AstraZeneca,2021,59.0% reduction,17.0% reduction,100.0 MWh,N/A,N/A
Airbus Group,2014,400000.0 tonnes CO₂,1800000.0 cubic meters,52000.0 MWh,N/A,50.0 percent
Apple,2023,55.0% reduction,N/A,38.0 MWh,22.0 percent,74.0 percent
Walgreens Boots Alliance,2015,4000.0 tonnes CO₂,11.0% reduction,N/A,100.0 percent,2200000.0 kg
Walgreens Boots Alliance,2019,2100000.0 tonnes CO₂,N/A,7.0 MWh,60.0 percent,1.0 percent
"WALGREENS BOOTS ALLIANCE, INC.",2020,1971000.0 tonnes CO₂,N/A,7.0 MWh,98.0 percent,99.0 percent
