symbol,security,gics_sector,gics_industry,country,region,report_url,report year,annual carbon emissions (tonnes co₂),annual water consumption (cubic meters),renewable energy usage (mwh),sustainable materials usage ratio (percent),waste recycling rate (percent)
MMM,3M Company,Industrials,Industrial Conglomerates,US,North America,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/3/NYSE_MMM_2011.pdf,2011,6200000.0,,,,47.0
MMM,3M Company,Industrials,Industrial Conglomerates,US,North America,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/3/NYSE_MMM_2015.pdf,2015,61700.0,,800000.0,,
MMM,3M Company,Industrials,Industrial Conglomerates,US,North America,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/3/NYSE_MMM_2017.pdf,2017,12000000.0,,25.0,,30.0
MMM,3M Company,Industrials,Industrial Conglomerates,US,North America,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/3/NYSE_MMM_2016.pdf,2016,211000.0,42100000.0,0.5,35.0,
MMM,3M Company,Industrials,Industrial Conglomerates,US,North America,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/3/NYSE_MMM_2023.pdf,2023,,,51.9,,44.9
MMM,3M Company,Industrials,Industrial Conglomerates,US,North America,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/3/NYSE_MMM_2021.pdf,2021,,,100.0,30.0,42.9
MMM,3M Company,Industrials,Industrial Conglomerates,US,North America,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/3/NYSE_MMM_2014.pdf,2014,7950000.0,43180000.0,1.0,23.0,36.6
MMM,3M Company,Industrials,Industrial Conglomerates,US,North America,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/3/NYSE_MMM_2022.pdf,2022,,247000.0,50.0,76.0,60.0
MMM,3M Company,Industrials,Industrial Conglomerates,US,North America,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/3/NYSE_MMM_2012.pdf,2012,72.0,,,,
MMM,3M Company,Industrials,Industrial Conglomerates,US,North America,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/3/NYSE_MMM_2020.pdf,2020,,41900000.0,20.0,100.0,
MMM,3M Company,Industrials,Industrial Conglomerates,US,North America,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/3/NYSE_MMM_2018.pdf,2018,,,10.0,45.0,100.0
MMM,3M Company,Industrials,Industrial Conglomerates,US,North America,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/3/NYSE_MMM_2019.pdf,2019,6700000.0,50000000.0,5.0,100.0,97.0
MMM,3M Company,Industrials,Industrial Conglomerates,US,North America,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/3/NYSE_MMM_2013.pdf,2013,,,,,
ABT,Abbott Laboratories,Health Care,Health Care Equipment,US,North America,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NYSE_ABT_2020.pdf,2020,500000.0,,,,
ABT,Abbott Laboratories,Health Care,Health Care Equipment,US,North America,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NYSE_ABT_2022.pdf,2022,,,,,
ABBV,AbbVie Inc.,Health Care,Pharmaceuticals,US,North America,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NYSE_ABBV_2020.pdf,2020,,,28.0,,89.0
ABBV,AbbVie Inc.,Health Care,Pharmaceuticals,US,North America,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NYSE_ABBV_2018.pdf,2018,,,20.0,,32.0
ABBV,AbbVie Inc.,Health Care,Pharmaceuticals,US,North America,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NYSE_ABBV_2019.pdf,2019,,,25.0,,35.0
ABBV,AbbVie Inc.,Health Care,Pharmaceuticals,US,North America,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NYSE_ABBV_2021.pdf,2021,367954.0,5220000.0,32.0,,42.0
ABBV,AbbVie Inc.,Health Care,Pharmaceuticals,US,North America,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NYSE_ABBV_2022.pdf,2022,342607.0,5040000.0,245433.0,,39.0
ADBE,Adobe Systems Inc,Information Technology,Application Software,US,North America,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NASDAQ_ADBE_2022.pdf,2022,,0.04,,,65.2
AMG,Affiliated Managers Group Inc,Financials,Asset Management & Custody Banks,US,North America,https://www.mitsui.com/jp/en/sustainability/sustainabilityreport/2014/__icsFiles/afieldfile/2015/09/08/en_csr_detail_2014.pdf,2014,130.0,,50.0,,95.0
AMG,Affiliated Managers Group Inc,Financials,Asset Management & Custody Banks,US,North America,https://assets.kpmg.com/content/dam/kpmg/ar/pdf/2020/the-time-has-come-KPMG-survey-of-sustainability-reporting_2020.pdf,2020,3202.0,,,,99.0
AMG,Affiliated Managers Group Inc,Financials,Asset Management & Custody Banks,US,North America,https://corporate.lowes.com/sites/lowes-corp/files/2023-04/Lowes_2021_CSR_06.03.22_Final.pdf,2021,,,142.0,,
AMG,Affiliated Managers Group Inc,Financials,Asset Management & Custody Banks,US,North America,https://assets.kpmg.com/content/dam/kpmg/pdf/2013/12/corporate-responsibility-reporting-survey-2013.pdf,2013,,4921033.0,,,
AMG,Affiliated Managers Group Inc,Financials,Asset Management & Custody Banks,US,North America,https://group.dhl.com/content/dam/deutschepostdhl/en/media-center/responsibility/dpdhl-sustainability-report-2019.pdf,2019,,,,,
AMG,Affiliated Managers Group Inc,Financials,Asset Management & Custody Banks,US,North America,https://www.apple.com/tr/environment/pdf/Apple_Environmental_Responsibility_Report_2018.pdf,2018,,,,,
AMG,Affiliated Managers Group Inc,Financials,Asset Management & Custody Banks,US,North America,https://group.dhl.com/content/dam/deutschepostdhl/en/media-center/responsibility/dpdhl-corporate-responsibility-report-2015.pdf,2015,1267485.0,4819684.0,,,98.8
A,Agilent Technologies Inc,Health Care,Health Care Equipment,US,North America,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NYSE_A_2019.pdf,2019,277.0,483000.0,108000.0,,94.0
A,Agilent Technologies Inc,Health Care,Health Care Equipment,US,North America,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NYSE_A_2007.pdf,2007,194.0,1074000.0,2000000.0,,78.0
A,Agilent Technologies Inc,Health Care,Health Care Equipment,US,North America,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NYSE_A_2000.pdf,2000,,4070000.0,6.5,,9.0
A,Agilent Technologies Inc,Health Care,Health Care Equipment,US,North America,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NYSE_A_2022.pdf,2022,49000.0,431000.0,27.0,,94.0
