Company Name,Report Year,Annual Carbon Emissions (tonnes CO₂),Annual Water Consumption (cubic meters),Renewable Energy Usage (MWh),Sustainable Materials Usage Ratio (percent),Waste Recycling Rate (percent)
3M Company,2011,6200000.0,,,,47.0
3M Company,2014,7950000.0,43180000.0,1.0,23.0,36.6
3M Company,2016,211000.0,42100000.0,0.5,35.0,
3M Company,2017,12000000.0,,25.0,,30.0
3M Company,2018,,,10.0,45.0,100.0
3M Company,2019,6700000.0,50000000.0,5.0,100.0,97.0
3M Company,2020,,41900000.0,20.0,100.0,
3M Company,2021,,,100.0,30.0,42.9
3M Company,2022,,247000.0,50.0,76.0,60.0
3M Company,2023,,,51.9,,44.9
3i,2020,,,100.0,100.0,
3i,2022,,,100.0,,
3i,2023,,5544.5,,30.0,95.0
Amgen Inc.,2014,38500.0,269000.0,,,50.4
Albemarle Corp,2023,3849.0,,,,
AES Corp,2019,175000.0,4985300000.0,29118848.0,,19.0
Walmart,2014,21200000.0,3000000.0,24.0,99.0,81.66
AbbVie Inc.,2018,,,20.0,,32.0
AbbVie Inc.,2019,,,25.0,,35.0
AbbVie Inc.,2020,,,28.0,,89.0
AbbVie Inc.,2021,367954.0,5220000.0,32.0,,42.0
AbbVie Inc.,2022,342607.0,5040000.0,245433.0,,39.0
Coca-Cola Company,2018,25500000.0,298797.0,,56.0,56.0
Coca-Cola Company,2019,,273700000.0,,10.0,59.0
Stellantis,2021,3874101.0,27540000.0,1169776.0,100.0,87.0
Amazon.com Inc.,2022,,,90.0,100.0,12.0
Visa Inc.,2023,,365000000.0,100.0,80.0,50.0
Apple Inc.,2017,29500000.0,,96.0,99.0,95.0
Macy's Inc.,2023,2022.0,,95.0,35.0,65.0
Agilent Technologies Inc,2000,,4070000.0,6.5,,9.0
Agilent Technologies Inc,2001,,4430.0,23.4,,
Agilent Technologies Inc,2002,,4061000.0,19.0,,
Agilent Technologies Inc,2003,,2856000.0,727000000.0,,5.0
Agilent Technologies Inc,2004,,2671000.0,6.0,,
Agilent Technologies Inc,2005,,2746000.0,16.0,,73.0
Agilent Technologies Inc,2006,212.0,1212000.0,199.0,,93.0
Agilent Technologies Inc,2007,194.0,1074000.0,2000000.0,,78.0
Agilent Technologies Inc,2008,128.6,1075.0,1.0,,83.0
Agilent Technologies Inc,2009,,818000.0,1.0,,65.0
Agilent Technologies Inc,2010,,938000.0,1.0,,94.0
Agilent Technologies Inc,2011,121753.0,1072810.0,13600.0,,
Agilent Technologies Inc,2012,,1269427.0,14.2,65.0,95.6
Agilent Technologies Inc,2013,,1194175.0,12800.0,,80.8
Agilent Technologies Inc,2014,109.2,1868.91,11800.0,,81.9
Agilent Technologies Inc,2015,59000.0,358800.0,5050.0,0.0,89.0
Agilent Technologies Inc,2016,59000.0,155000.0,5850.0,,89.0
Agilent Technologies Inc,2017,,,6000.0,,95.0
Agilent Technologies Inc,2018,1200.0,,32.0,,93.0
Agilent Technologies Inc,2019,277.0,483000.0,108000.0,,94.0
Agilent Technologies Inc,2020,2143.0,,3600.0,,90.0
Agilent Technologies Inc,2021,,453000.0,6.4,48.0,94.0
