symbol,security,gics_sector,gics_industry,country,region,report_url,report_year
MMM,3M Company,Industrials,Industrial Conglomerates,US,North America,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/3/NYSE_MMM_2011.pdf,2011.0
MMM,3M Company,Industrials,Industrial Conglomerates,US,North America,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/3/NYSE_MMM_2015.pdf,2015.0
MMM,3M Company,Industrials,Industrial Conglomerates,US,North America,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/3/NYSE_MMM_2017.pdf,2017.0
MMM,3M Company,Industrials,Industrial Conglomerates,US,North America,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/3/NYSE_MMM_2016.pdf,2016.0
MMM,3M Company,Industrials,Industrial Conglomerates,US,North America,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/3/NYSE_MMM_2023.pdf,2023.0
MMM,3M Company,Industrials,Industrial Conglomerates,US,North America,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/3/NYSE_MMM_2021.pdf,2021.0
MMM,3M Company,Industrials,Industrial Conglomerates,US,North America,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/3/NYSE_MMM_2014.pdf,2014.0
MMM,3M Company,Industrials,Industrial Conglomerates,US,North America,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/3/NYSE_MMM_2022.pdf,2022.0
MMM,3M Company,Industrials,Industrial Conglomerates,US,North America,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/3/NYSE_MMM_2012.pdf,2012.0
MMM,3M Company,Industrials,Industrial Conglomerates,US,North America,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/3/NYSE_MMM_2020.pdf,2020.0
MMM,3M Company,Industrials,Industrial Conglomerates,US,North America,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/3/NYSE_MMM_2018.pdf,2018.0
MMM,3M Company,Industrials,Industrial Conglomerates,US,North America,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/3/NYSE_MMM_2019.pdf,2019.0
MMM,3M Company,Industrials,Industrial Conglomerates,US,North America,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/3/NYSE_MMM_2013.pdf,2013.0
ABT,Abbott Laboratories,Health Care,Health Care Equipment,US,North America,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NYSE_ABT_2013.pdf,2013.0
ABT,Abbott Laboratories,Health Care,Health Care Equipment,US,North America,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NYSE_ABT_2015.pdf,2015.0
ABT,Abbott Laboratories,Health Care,Health Care Equipment,US,North America,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NYSE_ABT_2020.pdf,2020.0
ABT,Abbott Laboratories,Health Care,Health Care Equipment,US,North America,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NYSE_ABT_2014.pdf,2014.0
ABT,Abbott Laboratories,Health Care,Health Care Equipment,US,North America,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NYSE_ABT_2021.pdf,2021.0
