theme,indicator_name,type,years,values_numeric,values_text,unit,goal_text,progress_text,target_value,target_unit,baseline_year,target_year,page_number,source
GHG Emissions,Scope1 Emissions,reported_indicator,2022,4612,,tonnes,,,,,,,29,Climate and Efficiency Table
GHG Emissions,Scope1 Emissions,reported_indicator,2023,12346,,tonnes,,,,,,,29,Climate and Efficiency Table
GHG Emissions,Scope1 Emissions,reported_indicator,2024,14390,,tonnes,,,,,,,29,Climate and Efficiency Table
GHG Emissions,Scope2 Emissions (Market-Based),reported_indicator,2022,78210,,tonnes,,,,,,,29,Climate and Efficiency Table
GHG Emissions,Scope2 Emissions (Market-Based),reported_indicator,2023,60671,,tonnes,,,,,,,29,Climate and Efficiency Table
GHG Emissions,Scope2 Emissions (Market-Based),reported_indicator,2024,40555,,tonnes,,,,,,,29,Climate and Efficiency Table
GHG Emissions,Scope2 Emissions (Location-Based),reported_indicator,2022,133569,,tonnes,,,,,,,29,Climate and Efficiency Table
GHG Emissions,Scope2 Emissions (Location-Based),reported_indicator,2023,142909,,tonnes,,,,,,,29,Climate and Efficiency Table
GHG Emissions,Scope2 Emissions (Location-Based),reported_indicator,2024,178087,,tonnes,,,,,,,29,Climate and Efficiency Table
GHG Emissions,Scope3 Emissions,reported_indicator,2022,2701477,,tonnes,,,,,,,29,Climate and Efficiency Table
GHG Emissions,Scope3 Emissions,reported_indicator,2023,3514000,,tonnes,,,,,,,29,Climate and Efficiency Table
GHG Emissions,Scope3 Emissions,reported_indicator,2024,3637478,,tonnes,,,,,,,29,Climate and Efficiency Table
GHG Emissions,Scope3 Category1,reported_indicator,2022,2506722,,tonnes,,,,,,,29,Climate and Efficiency Table
GHG Emissions,Scope3 Category1,reported_indicator,2023,2975189,,tonnes,,,,,,,29,Climate and Efficiency Table
GHG Emissions,Scope3 Category1,reported_indicator,2024,3216144,,tonnes,,,,,,,29,Climate and Efficiency Table
GHG Emissions,Scope3 Category2,reported_indicator,2022,62586,,tonnes,,,,,,,29,Climate and Efficiency Table
GHG Emissions,Scope3 Category2,reported_indicator,2023,353280,,tonnes,,,,,,,29,Climate and Efficiency Table
